***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 13,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,1600,,,,,,Start Wavelength (nm):,1600,,,,,,,
End Wavelength (nm):,2400,,,,,,End Wavelength (nm):,2400,,,,,,,
Pattern Width (nm):,9,,,,,,Pattern Width (nm):,9,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,30,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,32,(FixedPGA),,,,,PGA Gain:,32,(FixedPGA),,,,,,
System Temp (C):,35.02,,,,,,System Temp (C):,34.64,,,,,,,
Humidity (%):,45.56,,,,,,Humidity (%):,45.87,,,,,,,
Lamp ADC:,No Built-In Lamp,,,,,,Lamp ADC:,No Built-In Lamp,,,,,,,
Data Date-Time:,2024/08/12T11:26:08,,,,,,Data Date-Time:,2024/08/12T11:21:46,,,,,,,
Total Measurement Time in sec:,8.8820591,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-F320,,,,,,Shift Vector Coefficients:,-13.16504,0.115654,-0.000253331,,,,,
Serial Number:,C11FP001,(95UB118G01VC11FP001),,,,,Pixel to Wavelength Coefficients:,2448.50639205426,-0.776432367151677,-0.000271852860897438,,,,,
GUI Version:,3.12.5,Revision:,718,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,5.1.1,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,10hr 22min 56sec ,,,,,,,
UUID:,DE:67:0C:88:67:70:83:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,O,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,N,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
2179.79624861173,1.62587222825451,923217,21849
2182.63200759304,1.62754183436451,922192,21741
2186.40540768801,1.60716995350116,919111,22709
2189.22974884916,1.59481832289683,912851,23205
2192.04919665881,1.58811371318099,905568,23378
2195.80084852491,1.58617171442644,897440,23272
2198.60887851441,1.58059770785771,889041,23352
2202.3453066203,1.55518931252386,878629,24469
2205.14191878963,1.558136994823,871851,24116
2208.86312313531,1.57160078998122,861714,23108
2211.64831748449,1.5718647660639,854626,22904
2215.35429806996,1.55596644198374,847432,23558
2218.12807459898,1.55251235215469,841611,23583
2221.81883142424,1.54942289129043,834157,23541
2224.5811901331,1.55733006814439,831477,23042
2227.33865549047,1.55317243783901,828809,23189
2231.00766408686,1.55689101513623,822634,22820
2233.75371162407,1.54962236466182,818942,23101
2237.40749646025,1.55188795975551,815528,22885
2240.1421261773,1.56099163944547,811151,22290
2243.78068725327,1.56521894860348,805893,21931
2246.50389915016,1.56156592246465,802568,22025
2250.12723646592,1.57479282237759,794517,21150
2252.83903054265,1.56752856201308,789059,21359
2255.54593126789,1.58051687094047,785417,20634
2259.14752035478,1.57504951028212,779087,20727
2261.84300325986,1.60203470563136,772875,19323
2265.42936858654,1.61292715935173,766871,18698
2268.11343367146,1.62237552576598,761690,18172
2271.68457523793,1.62739059163283,751498,17723
2274.35722250269,1.6427327943954,742632,16906
2277.91314030895,1.64881950253811,732889,16452
2280.57436975356,1.65289761528594,723795,16096
2283.23070584667,1.67967287361703,715348,14957
2286.76487542405,1.69980954257753,702657,14026
2289.40979369701,1.70357865412437,695643,13766
2292.92873951418,1.70370683226391,685031,13552
2295.56223996698,1.71977100667916,677484,12916
2299.06596202394,1.75243094695706,666213,11781
2301.68804465658,1.77703091813179,658539,11004
2305.17654295333,1.77875362633411,645715,10747
2307.78720776582,1.81030702012645,636613,9853
2310.3929792268,1.82318039383758,627946,9435
2313.85972929468,1.81986728197535,615380,9317
2316.45408293551,1.81849944007564,605083,9190
2319.90560924318,1.85328077078053,591480,8292
2322.48854506385,1.84591930919966,582240,8302
2325.92484761131,1.88095726934159,568364,7476
2328.49636561183,1.87983002519888,557488,7352
2331.91744439907,1.8985847808829,544324,6875
2334.47754457943,1.91197238828766,533521,6534
2337.88339960647,1.92754270079348,519227,6135
2340.43208196667,1.96889417028706,509285,5471
2342.97587097537,1.9793343500471,497838,5221
